helper: 0.0.0.0 2718  [5/29/2025, 23:25:14]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 14:57:40]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 14:57:41]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 14:57:46]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 14:58:16]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 14:58:16]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 14:58:20]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:01:36]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:01:36]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:01:40]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:03:28]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:03:28]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:03:33]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:06:56]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:06:56]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:07:01]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:08:18]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:08:18]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:08:23]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:09:29]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:09:29]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:09:35]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:10:38]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:10:39]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:10:43]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:14:56]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:15:01]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:15:06]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:18:38]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:18:38]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:18:44]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:27:12]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:27:12]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:27:17]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:29:36]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:29:36]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:29:41]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:32:07]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:32:08]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:32:13]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:32:28]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:32:28]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:34:14]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:34:14]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:36:08]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:36:08]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:37:15]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:37:15]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:37:20]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:40:42]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:40:43]
exec: js9helper ["-i","20250501_0926_Dystopian","Pie","Rituals_simple_compose_01jt6mypfyfjzbhhq5k2xs958a.png"]  [6/3/2025, 15:40:51]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 15:46:07]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 15:46:07]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 15:46:11]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 16:04:41]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 16:04:41]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 16:04:50]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 16:05:21]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 16:05:21]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 16:07:57]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 16:07:58]
exec: js9helper ["-i","20250502_1442_Blood","Pie","Display_simple_compose_01jt9sdjrhfpctvh4e12c4pnjp.png"]  [6/3/2025, 16:08:02]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 16:08:54]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 16:08:55]
exec: js9helper ["-i","20250502_1442_Blood","Pie","Display_simple_compose_01jt9sdjrhfpctvh4e12c4pnjp.png"]  [6/3/2025, 16:08:59]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 16:38:01]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 16:38:01]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 17:09:41]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:44:18]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:44:18]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:44:19]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:44:19]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:44:41]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:44:41]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:44:42]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:44:43]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:45:06]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:45:07]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 17:45:11]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:47:32]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:47:32]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 17:47:36]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:47:48]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:47:48]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:47:50]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:47:50]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:47:56]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 17:47:56]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:47:58]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 17:47:59]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 18:48:25]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 18:48:25]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 18:48:26]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 18:48:27]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 21:31:04]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 21:31:04]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 21:31:06]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 21:31:06]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:19:12]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:19:15]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 22:24:31]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:31:34]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:31:35]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:31:37]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:31:37]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:00]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:00]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:01]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:02]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:03]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:03]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:26]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:26]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:29]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:30]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:30]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:31]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:34]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:34]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:32:53]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:32:53]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:33:01]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:33:01]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:33:06]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:33:06]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:33:08]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:39:12]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:39:12]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 22:59:45]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 22:59:46]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 23:06:13]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 23:06:14]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 23:10:28]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 23:10:28]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 23:57:41]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 23:57:41]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/3/2025, 23:57:49]
connect: 127.0.0.1 (["JS9"])  [6/3/2025, 23:57:56]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/3/2025, 23:58:07]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:00:34]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:00:35]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:05:52]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:05:52]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:05:54]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:05:54]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 00:06:03]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:06:03]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:06:03]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:15:00]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:15:00]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:15:34]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:15:34]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:15:36]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:15:36]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:21:36]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:21:36]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:22:03]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:22:03]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 00:22:09]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:22:46]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:22:47]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 00:22:52]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:23:14]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:23:14]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:23:24]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:23:24]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:28:29]
connect: 127.0.0.1 (["JS9","JS9"])  [6/4/2025, 00:28:29]
connect: 127.0.0.1 (["JS9","JS9"])  [6/4/2025, 00:28:29]
disconnect: 127.0.0.1 (["JS9","JS9"]) [transport close]  [6/4/2025, 00:29:15]
disconnect: 127.0.0.1 (["JS9","JS9"]) [transport close]  [6/4/2025, 00:29:15]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:29:16]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:29:42]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:29:42]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 00:31:58]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 00:32:00]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 09:53:13]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 09:53:15]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 11:31:41]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 11:31:41]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 11:31:47]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 11:31:47]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 11:31:53]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 11:31:53]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 11:32:11]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 11:32:11]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 11:32:43]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 11:32:43]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 12:23:15]
ERROR:  uncaughtException: %s [%s] Error: EPERM: operation not permitted, scandir '/Users/jwilliams27/Desktop/js9-3.9/tmp/995beb90-a165-488b-89df-6d138aa87587'
    at Object.readdirSync (node:fs:1581:26)
    at rmkidsSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:336:11)
    at rmdirSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:329:7)
    at Function.rimrafSync [as sync] (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:308:62)
    at Timeout._onTimeout (/Users/jwilliams27/Desktop/js9-3.9/js9Helper.js:1028:10)
    at listOnTimeout (node:internal/timers:608:17)
    at process.processTimers (node:internal/timers:543:7) {
  errno: -1,
  code: 'EPERM',
  syscall: 'scandir',
  path: '/Users/jwilliams27/Desktop/js9-3.9/tmp/995beb90-a165-488b-89df-6d138aa87587'
} Error: EPERM: operation not permitted, scandir '/Users/jwilliams27/Desktop/js9-3.9/tmp/995beb90-a165-488b-89df-6d138aa87587'
    at Object.readdirSync (node:fs:1581:26)
    at rmkidsSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:336:11)
    at rmdirSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:329:7)
    at Function.rimrafSync [as sync] (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:308:62)
    at Timeout._onTimeout (/Users/jwilliams27/Desktop/js9-3.9/js9Helper.js:1028:10)
    at listOnTimeout (node:internal/timers:608:17)
    at process.processTimers (node:internal/timers:543:7)  [6/4/2025, 12:23:30]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 12:47:57]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 12:48:50]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 12:48:54]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 12:49:51]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 12:51:57]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 12:51:57]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 12:52:06]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 12:52:32]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 12:52:33]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 12:53:11]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 12:53:11]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 12:53:20]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 13:12:21]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 13:12:21]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 13:13:20]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 13:13:20]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 13:13:25]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 13:34:41]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 13:34:41]
ERROR:  uncaughtException: %s [%s] Error: EPERM: operation not permitted, scandir '/Users/jwilliams27/Desktop/js9-3.9/tmp/46fb2f14-0905-4d45-bc94-254ac83516ba'
    at Object.readdirSync (node:fs:1581:26)
    at rmkidsSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:336:11)
    at rmdirSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:329:7)
    at Function.rimrafSync [as sync] (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:308:62)
    at Timeout._onTimeout (/Users/jwilliams27/Desktop/js9-3.9/js9Helper.js:1028:10)
    at listOnTimeout (node:internal/timers:608:17)
    at process.processTimers (node:internal/timers:543:7) {
  errno: -1,
  code: 'EPERM',
  syscall: 'scandir',
  path: '/Users/jwilliams27/Desktop/js9-3.9/tmp/46fb2f14-0905-4d45-bc94-254ac83516ba'
} Error: EPERM: operation not permitted, scandir '/Users/jwilliams27/Desktop/js9-3.9/tmp/46fb2f14-0905-4d45-bc94-254ac83516ba'
    at Object.readdirSync (node:fs:1581:26)
    at rmkidsSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:336:11)
    at rmdirSync (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:329:7)
    at Function.rimrafSync [as sync] (/Users/jwilliams27/Desktop/js9-3.9/node_modules/rimraf/rimraf.js:308:62)
    at Timeout._onTimeout (/Users/jwilliams27/Desktop/js9-3.9/js9Helper.js:1028:10)
    at listOnTimeout (node:internal/timers:608:17)
    at process.processTimers (node:internal/timers:543:7)  [6/4/2025, 13:34:56]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 13:35:32]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 13:38:02]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 13:38:02]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 13:38:08]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 13:40:17]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 13:40:18]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 13:40:22]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 16:33:05]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 16:33:05]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 16:33:13]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 16:35:02]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 16:35:03]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 16:35:09]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 16:38:34]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 16:38:34]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 16:38:44]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 16:40:27]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 16:40:27]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 16:40:34]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 16:42:15]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 16:42:16]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 16:42:22]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 16:44:26]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 16:44:26]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 16:44:31]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 16:47:09]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 16:47:10]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 16:47:15]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:17:38]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:17:38]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:17:42]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:18:58]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:18:58]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:19:14]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:19:14]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:19:26]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:19:26]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:19:34]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:20:04]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:20:04]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:20:18]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:20:58]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:20:58]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:23:00]
connect: 127.0.0.1 (["JS9"])  [6/4/2025, 17:23:00]
exec: js9helper ["-i","20250502_1446_Triple-Layer","Fantasy","Realm_simple_compose_01jt9sp2cqf0psq11wzzdrhk53.png"]  [6/4/2025, 17:23:06]
disconnect: 127.0.0.1 (["JS9"]) [transport close]  [6/4/2025, 17:23:40]
